Date,tw_open,tw_high,tw_low,tw_close,tw_volume,sox_close_prev,sox_ret_1d,nasdaq_close_prev,nasdaq_ret_1d,usdtwd_close,usdtwd_ret_5d
2020-01-08,11818.759765625,11899.669921875,11777.4501953125,11817.099609375,2428800,1867.280029296875,0.017768752388188203,9068.580078125,-0.00031854247708495986,29.985000610351562,0.002909889996040249
2020-01-09,11889.4599609375,11992.5498046875,11889.4599609375,11970.6298828125,2036900,1867.5899658203125,0.00016598288343194767,9129.240234375,0.006689046766684248,30.010000228881836,0.005562269366532702
2020-01-10,12009.26953125,12038.2099609375,11959.0595703125,12024.650390625,1869000,1878.72998046875,0.005964914597056392,9203.4296875,0.008126574744484083,29.94300079345703,0.0014381664038587427
2020-01-13,12069.6103515625,12113.419921875,12037.240234375,12113.419921875,2292300,1866.3499755859375,-0.006589560507105796,9178.8603515625,-0.0026695847930331418,29.961999893188477,-0.0024304962408688846
2020-01-14,12161.73046875,12186.6201171875,12140.26953125,12179.8095703125,2255300,1890.7900390625,0.013095112811780885,9273.9296875,0.010357422631592339,29.874000549316406,-0.005757657356733614
2020-01-15,12169.919921875,12169.919921875,12048.009765625,12091.8798828125,1943800,1894.6400146484375,0.0020361729787017335,9251.330078125,-0.002436896778014286,29.826000213623047,-0.0053026644486251495
2020-01-16,12006.080078125,12075.5400390625,12006.080078125,12066.9296875,2049000,1872.1600341796875,-0.011865040479956956,9258.7001953125,0.0007966548728952638,29.933000564575195,-0.002565800190582279
2020-01-17,12080.7197265625,12117.5498046875,12055.91015625,12090.2900390625,2009700,1903.9300537109375,0.016969713566805433,9357.1298828125,0.010631048141058974,29.89900016784668,-0.001469479492515191
2020-01-20,12107.5595703125,12151.419921875,12101.5498046875,12118.7099609375,2095100,1903.9300537109375,0.016969713566805433,9357.1298828125,0.010631048141058974,29.950000762939453,-0.0004004782822174535
2020-01-30,11933.23046875,11933.23046875,11418.2197265625,11421.740234375,4917300,1858.699951171875,-0.018259449525289684,9275.16015625,0.0005912252564013176,30.090999603271484,0.005748820952057532
2020-01-31,11494.0302734375,11594.2099609375,11436.9501953125,11495.099609375,3130700,1855.800048828125,-0.0015601777693713403,9298.9296875,0.002562708443798023,30.204999923706055,0.007673045514905441
2020-02-03,11365.900390625,11365.900390625,11138.0302734375,11354.919921875,3472200,1789.9300537109375,-0.03549412295725618,9150.9404296875,-0.015914654996416755,30.34600067138672,0.01085943399906708
2020-02-04,11399.4599609375,11581.3603515625,11393.0302734375,11555.919921875,2731100,1812.1800537109375,0.012430653339704945,9273.400390625,0.01338222687366808,30.239999771118164,0.00481809141292544
2020-02-05,11601.5498046875,11620.419921875,11512.7099609375,11573.6201171875,2624400,1868.6500244140625,0.03116134657121239,9467.9697265625,0.02098144453400308,30.027999877929688,0.0007665628330748575
2020-02-06,11605.1103515625,11749.6796875,11605.1103515625,11749.6796875,2305400,1909.52001953125,0.021871401591104567,9508.6796875,0.0042997561370825554,29.951000213623047,-0.004652533697591665
2020-02-07,11712.7099609375,11712.7099609375,11592.08984375,11612.8095703125,2182700,1909.6400146484375,6.284046040905267e-05,9572.150390625,0.006675027996624783,30.030000686645508,-0.005793717513741803
2020-02-10,11514.7197265625,11598.0302734375,11423.33984375,11574.0703125,2328300,1864.3599853515625,-0.02371129058332544,9520.509765625,-0.005394882329740391,30.177000045776367,-0.005569123504623907
2020-02-11,11614.25,11678.580078125,11614.25,11664.0400390625,1845400,1892.800048828125,0.015254598736305525,9628.3896484375,0.011331313707803048,30.025999069213867,-0.00707674284140325
2020-02-12,11693.400390625,11801.51953125,11693.400390625,11774.1904296875,2120500,1931.0799560546875,0.02022395722689385,9638.9404296875,0.0010957991559588098,29.948999404907227,-0.0026308936107504177
2020-02-13,11813.5,11854.98046875,11784.9404296875,11791.7802734375,2132400,1958.8199462890625,0.014365013808671945,9725.9599609375,0.009027914622439681,29.90999984741211,-0.0013689147580550065
2020-02-14,11806.51953125,11840.7900390625,11788.8701171875,11815.7001953125,1697100,1960.3399658203125,0.0007759873663373273,9711.9697265625,-0.0014384425219915453,29.985000610351562,-0.001498504004828649
2020-02-17,11770.2998046875,11775.5595703125,11724.8203125,11763.509765625,1837200,1960.3399658203125,0.0007759873663373273,9711.9697265625,-0.0014384425219915453,30.014999389648438,-0.005368348605964357
2020-02-18,11700.91015625,11717.099609375,11642.9501953125,11648.98046875,1882600,1956.56005859375,-0.0019281896469324211,9731.1796875,0.001977967547093895,30.016000747680664,-0.000332988804474299
